batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
WG Jacks,T20,34,630,448,59,29,140.62,18.53,21.68
WG Jacks,ODI,21,629,619,56,20,101.62,29.95,18.67
Anjar Tadarus,T20,59,629,769,63,14,81.79,10.66,12.15
RM Dorji,T20,37,628,609,45,26,103.12,16.97,16.45
GW Flower,ODI,21,627,963,54,2,65.11,29.86,13.17
OH Agbomadzie,T20,34,626,697,47,14,89.81,18.41,14.46
R Obuya,T20,34,624,533,54,27,117.07,18.35,18.59
M Jansen,Test,21,624,1149,78,13,54.31,29.71,12.77
JN Mohammed,ODI,29,621,929,51,10,66.85,21.41,12.09
B George,T20,27,620,519,41,34,119.46,22.96,20.03
Khawar Ali,ODI,28,620,1080,55,6,57.41,22.14,10.91
SJ Harmison,Test,40,616,1014,84,9,60.75,15.4,10.52
ST Jayasuriya,T20,28,615,495,75,22,124.24,21.96,20.17
A Bagai,ODI,24,614,995,63,1,61.71,25.58,11.94
Karan KC,ODI,45,614,672,44,32,91.37,13.64,14.66
NR Kirton,ODI,23,613,829,42,15,73.94,26.65,14.16
Alok Kapali,ODI,37,613,910,51,8,67.36,16.57,11.06
Naseem Khushi,T20,34,612,384,39,47,159.38,18.0,24.58
Zeeshan Kukikhel,T20,22,611,441,69,26,138.55,27.77,23.21
JF Mooney,ODI,32,610,746,62,7,81.77,19.06,13.39
S Singh,T20,41,607,641,70,2,94.7,14.8,13.93
I Takahashi,T20,42,607,460,47,32,131.96,14.45,19.79
J Mees,T20,30,606,529,53,22,114.56,20.2,18.33
Khaled Mashud,ODI,36,605,1139,40,1,53.12,16.81,8.82
RJ Harris,Test,25,603,962,66,9,62.68,24.12,12.24
SA Ahmad,T20,30,601,586,55,13,102.56,20.03,16.35
D Wiese,T20,37,601,468,33,31,128.42,16.24,19.46
A Dizija,T20,27,601,559,56,24,107.51,22.26,18.04
C Madande,T20,36,599,520,48,19,115.19,16.64,17.45
Lakshit Gupta,T20,28,597,594,48,25,100.51,21.32,16.94
TWM Latham,T20,26,597,562,51,11,106.23,22.96,17.21
D Abeyrathna,T20,33,595,645,53,14,92.25,18.03,14.72
Aayan Afzal Khan,ODI,34,595,829,55,13,71.77,17.5,12.09
Afif Hossain,ODI,27,594,705,54,9,84.26,22.0,14.27
J Botha,ODI,49,594,718,53,3,82.73,12.12,11.75
BMAJ Mendis,ODI,42,593,741,45,12,80.03,14.12,12.22
TLW Cooper,T20,29,592,475,58,18,124.63,20.41,19.42
Adnan Akmal,Test,20,591,1343,73,0,44.01,29.55,10.63
CN Ackermann,T20,29,590,524,43,14,112.6,20.34,17.51
RK Singh,T20,34,590,432,52,32,136.57,17.35,20.97
JM Vince,ODI,21,590,682,73,3,86.51,28.1,15.67
SK Warne,Test,24,590,875,70,11,67.43,24.58,13.06
Saqlain Arshad,T20,35,589,479,73,17,122.96,16.83,18.64
N Vanua,T20,37,588,477,28,36,123.27,15.89,18.97
C Roberts,T20,23,586,573,46,4,102.27,25.48,16.75
RJ Nicol,ODI,21,586,805,53,13,72.8,27.9,14.26
PD Collingwood,T20,33,583,467,38,24,124.84,17.67,18.96
FH Allen,ODI,21,582,637,78,14,91.37,27.71,16.87
DR Smith,T20,32,582,484,62,31,120.25,18.19,19.22
DJG Sammy,T20,49,581,412,46,31,141.02,11.86,20.26
PHKD Mendis,T20,36,581,486,48,24,119.55,16.14,18.14
H Singh,T20,33,581,469,56,15,123.88,17.61,18.55
WPUJC Vaas,ODI,70,579,860,44,3,67.33,8.27,8.96
MA Starc,ODI,68,579,770,43,14,75.19,8.51,10.58
K Waiswa,T20,47,579,589,55,14,98.3,12.32,14.31
SB Styris,T20,29,578,493,40,25,117.24,19.93,18.56
BA Stokes,T20,34,576,457,41,22,126.04,16.94,18.87
DAS Gunaratne,ODI,25,575,743,50,6,77.39,23.0,13.38
D Ramdin,T20,46,574,502,49,18,114.34,12.48,16.43
WD Parnell,ODI,42,574,743,43,9,77.25,13.67,11.57
BJ Watling,ODI,24,573,860,58,3,66.63,23.88,12.19
A Mansale,T20,26,572,500,37,20,114.4,22.0,18.3
A Ashokan,T20,22,572,525,28,22,108.95,26.0,18.44
Waji Ul Hassan,T20,28,571,482,40,22,118.46,20.39,18.62
RL Powell,ODI,30,570,626,60,14,91.05,19.0,14.82
DAJ Bracewell,Test,26,568,1227,70,8,46.29,21.85,9.75
Hamza Khan,T20,25,566,563,42,20,100.53,22.64,16.8
JR Hazlewood,Test,59,565,1286,81,2,43.93,9.58,6.8
AS Samra,T20,23,564,420,44,28,134.29,24.52,21.76
RW Chakabva,T20,44,563,494,51,23,113.97,12.8,16.75
Aarif Sheikh,T20,37,562,520,54,12,108.08,15.19,15.92
IS Sodhi,Test,20,561,1197,68,7,46.87,28.05,10.97
B Ward,T20,30,561,448,32,30,125.22,18.7,19.44
JL Carter,ODI,26,560,778,48,10,71.98,21.54,12.62
TS Fray,T20,35,559,632,45,8,88.45,15.97,13.34
MK Pandey,ODI,23,558,624,45,5,89.42,24.26,14.95
PM Seelaar,T20,40,557,516,40,11,107.95,13.92,15.4
DD Ebrahim,ODI,28,555,1050,36,0,52.86,19.82,9.21
T Perera,T20,31,555,543,54,16,102.21,17.9,15.97
SR Bhudia,T20,35,554,467,49,17,118.63,15.83,17.54
D Myers,T20,29,553,444,51,17,124.55,19.07,18.94
M Jansen,ODI,26,553,508,44,25,108.86,21.27,17.83
MJ Lumb,T20,27,552,422,64,21,130.81,20.44,20.37
B Kumar,ODI,53,552,768,46,8,71.88,10.42,10.22
M Podosky,T20,32,551,508,45,28,108.46,17.22,17.15
Imal Zuwak,T20,28,550,535,52,13,102.8,19.64,16.19
Faheem Ashraf,T20,55,549,408,37,31,134.56,9.98,18.94
JA Morkel,T20,36,549,395,27,38,138.99,15.25,20.8
SM Sharif,ODI,48,548,746,38,8,73.46,11.42,10.5
Haider Ali,T20,42,548,454,45,23,120.7,13.05,17.52
N Deonarine,ODI,25,546,873,48,6,62.54,21.84,11.28
AR Naidoo,T20,26,544,553,44,15,98.37,20.92,15.91
Ayan Khan,T20,34,540,531,33,16,101.69,15.88,15.2
MR Swart,T20,20,539,472,45,14,114.19,26.95,18.99
AJ Mosca,T20,20,539,419,40,21,128.64,26.95,21.08
IA De Silva,T20,24,539,553,52,22,97.47,22.46,16.61
Raghav Dhawan,T20,20,539,512,41,15,105.27,26.95,17.91
D Kansonkho,T20,35,538,622,46,12,86.5,15.37,13.2
Parvez Hossain Emon,T20,27,537,425,45,35,126.35,19.89,20.24
LE Plunkett,ODI,47,536,503,46,15,106.56,11.4,15.01
L Louwrens,ODI,24,535,918,62,1,58.28,22.29,10.74
GD Arta,T20,48,535,602,31,29,88.87,11.15,13.41
Sandeep Goud,ODI,28,535,766,32,22,69.84,19.11,12.3
KC D'Souza,T20,24,535,359,32,37,149.03,22.29,23.42
G Stewart,T20,21,532,343,35,44,155.1,25.33,25.2
RE van der Merwe,T20,42,532,428,40,15,124.3,12.67,17.33
Umar Gul,Test,38,532,1087,55,20,48.94,14.0,8.93
Aman Desai,T20,33,531,481,49,15,110.4,16.09,16.45
Z Khan,ODI,59,531,758,47,16,70.05,9.0,10.16
J Mubarak,ODI,27,531,833,43,3,63.75,19.67,10.74
Imran Nazir,ODI,21,531,604,70,12,87.91,25.29,15.67
M Coetzee,T20,29,528,412,71,12,128.16,18.21,19.15
PHKD Mendis,ODI,26,527,663,40,13,79.49,20.27,13.29
Iftikhar Ahmed,ODI,21,527,497,47,16,106.04,25.1,17.75
CR Brathwaite,ODI,34,527,613,34,22,85.97,15.5,13.56
DJ Hawoe,T20,66,527,446,32,28,118.16,7.98,16.27
BM Duckett,T20,21,527,354,69,8,148.87,25.1,22.79
C Kieswetter,T20,24,526,474,47,23,110.97,21.92,18.11
Tenjin Rabgey,T20,35,526,635,44,14,82.83,15.03,12.76
PJ Cummins,ODI,57,525,652,42,12,80.52,9.21,11.17
T Jamtsho,T20,39,524,476,45,26,110.08,13.44,16.44
Mosaddek Hossain,ODI,31,524,655,46,11,80.0,16.9,12.64
T Nightingale,T20,28,523,419,47,19,124.82,18.68,18.91
SO Ngoche,T20,50,523,470,43,17,111.28,10.46,15.45
RJ Peterson,ODI,34,523,636,49,5,82.23,15.38,12.3
Abbas Ghani,T20,21,522,356,51,26,146.63,24.86,23.25
SSM Stanislaus,T20,29,521,525,37,20,99.24,17.97,15.58
K Doriga,ODI,33,520,927,46,11,56.09,15.76,9.5
PJ Moor,ODI,32,520,781,29,20,66.58,16.25,11.16
F Behardien,T20,30,518,416,37,16,124.52,17.27,18.28
MA Vermeulen,ODI,29,517,796,63,1,64.95,17.83,10.65
E Beukes,T20,32,517,430,32,33,120.23,16.16,18.44
TAM Siriwardana,ODI,24,516,539,39,13,95.73,21.5,15.48
CD Wallace,ODI,25,515,598,42,9,86.12,20.6,13.95
WAE Burton,T20,27,515,384,54,31,134.11,19.07,20.88
Mohammad Haris,T20,28,515,374,45,26,137.7,18.39,20.78
Rajin Saleh,ODI,26,515,1059,41,1,48.63,19.81,8.76
M Syahadat Ramli,T20,35,514,478,35,19,107.53,14.69,15.84
DC Smith,T20,30,514,448,47,18,114.73,17.13,17.3
MJ Richardson,T20,24,513,510,47,5,100.59,21.38,15.7
Arjun Vinod,T20,25,513,496,45,13,103.43,20.52,16.3
Mashrafe Mortaza,Test,20,513,732,57,17,70.08,25.65,13.66
Ahmed Aqeel,T20,27,513,438,27,19,117.12,19.0,17.76
CJ Chibhabha,T20,26,512,459,59,13,111.55,19.69,17.3
Jaspal Singh,T20,34,509,488,40,23,104.3,14.97,15.79
SCJ Broad,ODI,65,509,692,35,10,73.55,7.83,9.81
M Taylor,T20,28,508,582,47,23,87.29,18.14,14.45
SL Malinga,ODI,106,508,701,41,19,72.47,4.79,9.66
RA Jadeja,T20,38,508,421,38,14,120.67,13.37,16.92
MN Waller,T20,23,507,371,36,24,136.66,22.04,21.14
AG Cremer,ODI,49,507,897,33,1,56.52,10.35,7.71
M van Lingen,T20,26,507,450,61,13,112.67,19.5,17.42
Janak Prakash,T20,36,506,417,31,20,121.34,14.06,17.38
LV van Beek,ODI,31,505,610,34,15,82.79,16.29,12.9
C de Grandhomme,T20,38,505,383,27,30,131.85,13.29,19.02
OJ Hairs,T20,28,504,321,47,33,157.01,18.0,23.46
GR Adair,T20,21,503,377,48,28,133.42,23.95,21.51
W Niyitanga,T20,41,501,630,28,19,79.52,12.22,11.83
R Trumpelmann,ODI,40,501,637,34,21,78.65,12.52,11.98
J Rasu,T20,29,500,468,36,16,106.84,17.24,16.09
V Sibanda,T20,25,498,498,52,11,100.0,19.92,15.72
MJ Leach,Test,36,498,1335,64,2,37.3,13.83,6.53
Muhammad Amir,T20,41,495,507,49,10,97.63,12.07,13.76
Mominul Haque,ODI,22,495,671,54,1,73.77,22.5,12.5
Shamim Hossain,T20,32,495,409,43,18,121.03,15.47,17.66
Imran Nazir,T20,23,495,377,58,22,131.3,21.52,20.55
Nurul Hasan,T20,46,494,439,27,19,112.53,10.74,15.52
RA Sealy,T20,28,492,400,36,24,123.0,17.57,18.56
V Ganesan,T20,32,492,491,51,1,100.2,15.38,14.24
Mohammad Rafique,ODI,46,492,745,39,14,66.04,10.7,9.74
TP Visee,T20,30,491,351,67,17,139.89,16.37,20.39
S Jora,T20,32,490,418,27,22,117.22,15.31,17.17
B Niaz,T20,24,490,427,41,26,114.75,20.42,18.31
MPGT Ketiyage,T20,20,489,425,33,30,115.06,24.45,19.28
MJ Clarke,T20,28,488,490,29,10,99.59,17.43,14.79
Salman Butt,T20,21,488,469,58,6,104.05,23.24,16.66
JWM Dalrymple,ODI,26,487,677,32,3,71.94,18.73,11.34
R Bakum,T20,32,486,469,36,20,103.62,15.19,15.5
Talha Khan,T20,26,486,485,39,11,100.21,18.69,15.31
MO Kitunda,T20,39,485,527,40,15,92.03,12.44,13.3
I Niyomugabo,T20,24,485,515,48,7,94.17,20.21,14.77
OGL Bascome,T20,28,485,370,35,33,131.08,17.32,19.98
PW Borren,T20,28,485,381,51,13,127.3,17.32,18.6
R McLaren,ODI,41,485,696,42,6,69.68,11.83,9.98
ND Laegsgaard,T20,25,484,343,41,29,141.11,19.36,21.46
LM Jongwe,T20,43,483,405,42,14,119.26,11.23,16.34
J Mosca,T20,23,483,345,54,16,140.0,21.0,21.09
SJ Benn,Test,23,482,799,58,13,60.33,20.96,11.28
JDP Oram,T20,30,482,350,38,23,137.71,16.07,20.01
SR Patel,ODI,22,482,532,37,12,90.6,21.91,14.81
N Dickwella,T20,26,480,374,61,9,128.34,18.46,18.85
MB Kruger,T20,30,480,451,51,15,106.43,16.0,15.91
A Limdawala,T20,30,479,556,40,13,86.15,15.97,13.17
SW Billings,T20,33,478,377,41,16,126.79,14.48,18.0
Karan KC,T20,47,478,321,21,40,148.91,10.17,20.92
NK Patel,ODI,32,477,701,34,8,68.05,14.91,10.39
M Campopiano,T20,22,477,411,39,14,116.06,21.68,17.99
Sher Sahak,T20,29,476,365,29,27,130.41,16.41,19.29
GJ Bailey,T20,26,475,350,37,20,135.71,18.27,20.01
GP Swann,ODI,47,475,525,46,4,90.48,10.11,12.09
K Mishara,T20,21,473,377,45,20,125.46,22.52,19.72
L Lamin,T20,36,473,521,30,20,90.79,13.14,13.43
KTGD Prasad,Test,23,473,870,54,8,54.37,20.57,10.13
US Hathinjar,T20,28,472,440,41,24,107.27,16.86,16.55
Hammad Mirza,T20,26,472,449,40,14,105.12,18.15,15.96
S Lamichhane,ODI,41,472,532,40,9,88.72,11.51,12.35
Saad Bin Zafar,T20,33,471,388,38,16,121.39,14.27,17.25
Sahil Chauhan,T20,20,471,271,25,43,173.8,23.55,26.84
SA Jumbe,T20,46,470,469,34,23,100.21,10.22,14.21
A Sharma,ODI,22,470,633,57,8,74.25,21.36,12.74
A Ferguson,T20,24,469,528,53,2,88.83,19.54,13.75
J Bangura,T20,35,468,617,36,5,75.85,13.37,10.88
S Movva,ODI,22,468,743,30,4,62.99,21.27,10.76
Javed Omar,ODI,20,468,967,54,2,48.4,23.4,9.62
MA Ouma,ODI,26,468,855,49,2,54.74,18.0,9.24
CH Morris,ODI,27,467,474,36,15,98.52,17.3,14.99
JEC Franklin,T20,31,463,398,28,23,116.33,14.94,17.02
Shayan Jahangir,T20,21,463,353,41,18,131.16,22.05,20.14
Umer Imtiaz,T20,31,462,427,37,25,108.2,14.9,16.26
AS Joseph,ODI,44,461,623,35,21,74.0,10.48,10.96
Imad Wasim,T20,46,459,339,50,10,135.4,9.98,17.89
JD Ryder,T20,21,457,369,47,18,123.85,21.76,19.26
AR Nurse,ODI,35,454,464,40,12,97.84,12.97,13.9
GS Ballance,ODI,20,454,647,37,1,70.17,22.7,11.82
Khawar Ali,T20,27,452,456,47,14,99.12,16.74,15.02
C Karunaratne,ODI,24,451,589,32,8,76.57,18.79,12.15
P Mishra,T20,36,451,424,27,35,106.37,12.53,15.98
Saeed Ajmal,Test,32,451,1085,44,4,41.57,14.09,6.88
M Akayezu,T20,62,451,406,28,25,111.08,7.27,14.94
PL Harris,Test,32,450,1330,47,3,33.83,14.06,5.92
Naved-ul-Hasan,ODI,42,449,519,31,14,86.51,10.69,12.05
R Shepherd,ODI,29,449,445,40,17,100.9,15.48,15.05
MR Adair,ODI,34,448,421,34,21,106.41,13.18,15.41
JP Kotze,ODI,25,448,682,43,7,65.69,17.92,10.73
Shoaib Khan,T20,36,447,436,39,18,102.52,12.42,14.68
P Useni,T20,46,445,316,22,31,140.82,9.67,19.29
D Gumyusenge,T20,30,445,456,36,18,97.59,14.83,14.52
Ghulam Shabber,ODI,20,444,716,43,3,62.01,22.2,10.91
Umar Gul,ODI,62,442,648,35,13,68.21,7.13,9.1
Hussain Talat,T20,22,441,401,41,5,109.98,20.05,16.39
MB Kruger,ODI,21,438,665,36,6,65.86,20.86,11.18
Ali Masood,T20,24,436,451,42,9,96.67,18.17,14.63
H Hiri,ODI,32,435,794,30,5,54.79,13.59,8.24
L Canessane,T20,34,434,395,37,13,109.87,12.76,15.31
MG Bracewell,T20,29,434,343,36,17,126.53,14.97,17.99
UT Yadav,Test,47,434,863,40,22,50.29,9.23,7.92
A Sharafu,ODI,26,433,616,43,10,70.29,16.65,11.19
S Wickramasekara,T20,22,431,340,32,22,126.76,19.59,19.17
VD Adewoye,T20,41,431,371,35,19,116.17,10.51,15.94
Pargat Singh,T20,21,430,379,39,14,113.46,20.48,17.37
JP Greaves,ODI,20,429,478,38,9,89.75,21.45,14.39
Faisal Mubashir,T20,20,428,435,33,6,98.39,21.4,15.19
Younis Khan,T20,21,428,347,31,12,123.34,20.38,18.33
IKEG Artawan,T20,58,426,464,39,13,91.81,7.34,12.05
Khushdil Shah,T20,30,425,421,26,20,100.95,14.17,14.75
Hassan Nawaz,T20,21,424,277,22,33,153.07,20.19,22.98
CJ Jordan,T20,51,424,332,29,21,127.71,8.31,16.92
S Periyalwar,T20,31,424,446,46,3,95.07,13.68,13.23
KC Ramamoorthy,T20,26,424,409,37,17,103.67,16.31,15.48
S Thakor,T20,41,423,316,41,21,133.86,10.32,18.23
IDA Damarell,T20,24,423,394,45,8,107.36,17.62,15.79
S Prasanna,ODI,35,421,460,29,26,91.52,12.03,13.55
S Nadigotla,T20,27,421,390,36,13,107.95,15.59,15.61
SMA Priyanjan,ODI,20,420,533,47,3,78.8,21.0,12.73
A Kirschbaum,T20,29,420,429,32,6,97.9,14.48,13.72
VB Chikkannaiah,T20,20,416,442,30,12,94.12,20.8,14.83
Milind Kumar,T20,21,416,401,25,9,103.74,19.81,15.57
MW Short,T20,22,416,284,40,20,146.48,18.91,21.41
JJ Huo,T20,21,415,364,40,14,114.01,19.76,17.29
R Rohan,T20,27,414,432,43,12,95.83,15.33,14.12
Namgay Thinley,T20,37,414,417,29,20,99.28,11.19,13.97
S Thanikaithasan,T20,25,413,353,29,15,117.0,16.52,16.91
HJ Manenti,T20,21,412,373,35,11,110.46,19.62,16.59
NP Kenjige,ODI,40,410,590,26,5,69.49,10.25,9.27
OE Robinson,Test,20,410,737,50,2,55.63,20.5,9.79
Mehedi Hasan Miraz,T20,28,410,363,36,10,112.95,14.64,15.84
J Barker,T20,26,409,461,29,2,88.72,15.73,12.57
Mahedi Hasan,T20,43,408,418,29,14,97.61,9.49,13.08
W Miyauchi,T20,25,408,416,36,3,98.08,16.32,13.97
Faheem Ashraf,ODI,30,408,491,36,13,83.1,13.6,12.18
WU Tharanga,T20,26,407,348,42,12,116.95,15.65,16.72
DM Bravo,T20,22,405,400,32,14,101.25,18.41,15.35
BJ Haddin,T20,29,404,361,30,13,111.91,13.93,15.66
GF Linde,T20,26,403,286,27,22,140.91,15.5,19.97
VS Padhaal,T20,25,401,414,36,8,96.86,16.04,14.04
K Rabada,ODI,44,401,514,30,12,78.02,9.11,10.51
Vikramjit Singh,T20,27,400,362,33,17,110.5,14.81,15.93
HH Gibbs,T20,23,400,333,45,12,120.12,17.39,17.49
S Desungnoen,T20,39,399,497,35,11,80.28,10.23,11.02
Sohail Tanvir,ODI,38,399,468,44,6,85.26,10.5,11.51
Ibrahim Rahimi,T20,20,397,252,18,37,157.54,19.85,23.59
JK Vifah,T20,28,396,382,39,9,103.66,14.14,14.58
V Shukla,T20,21,396,287,35,15,137.98,18.86,19.98
D Suzuki,T20,40,396,402,39,6,98.51,9.9,12.93
Abdur Rehman,Test,21,395,933,47,9,42.34,18.81,8.17
Aslam Khan,T20,23,394,258,40,28,152.71,17.13,22.23
Ahmed Raza,ODI,36,391,645,28,8,60.62,10.86,8.48
ZM Tribe,T20,25,390,383,34,7,101.83,15.6,14.46
Usman Khalid,T20,26,389,354,30,15,109.89,14.96,15.71
DN Wellalage,ODI,25,389,487,29,10,79.88,15.56,11.89
Abdul Razzaq,T20,28,388,341,21,21,113.78,13.86,16.19
AJ Hall,ODI,28,387,464,30,6,83.41,13.82,11.75
G Singh,T20,22,383,371,28,13,103.23,17.41,15.25
T Munyonga,T20,35,382,374,28,9,102.14,10.91,13.58
Hasan Ali,Test,23,382,533,34,20,71.67,16.61,11.73
Mohammad Ashraful,T20,20,382,285,41,11,134.04,19.1,19.39
CS Baugh,ODI,27,382,563,30,4,67.85,14.15,9.81
Sompal Kami,T20,46,380,351,27,15,108.26,8.26,14.12
Gaurav Tiwari,T20,22,380,398,34,10,95.48,17.27,14.18
JS Patel,Test,21,379,692,44,3,54.77,18.05,9.13
D Ajekun,T20,32,379,534,32,2,70.97,11.84,9.63
D Heyliger,T20,36,379,236,24,26,160.59,10.53,21.52
XM Marshall,ODI,26,379,677,41,4,55.98,14.58,8.59
J Coetzee,T20,22,378,361,24,14,104.71,17.18,15.38
A Zampa,ODI,57,378,591,32,2,63.96,6.63,7.73
Shahid Wasif,T20,25,378,367,29,10,103.0,15.12,14.6
WIA Fernando,T20,37,377,421,28,8,89.55,10.19,11.84
Hasan Ali,ODI,38,377,334,28,23,112.87,9.92,15.48
AK Mohan,T20,22,377,450,24,15,83.78,17.14,12.88
M Shumba,T20,25,376,342,23,13,109.94,15.04,15.51
S Movva,T20,22,376,370,29,8,101.62,17.09,14.71
Hisham Sheikh,T20,23,375,421,20,3,89.07,16.3,12.62
AM Rahane,T20,20,375,347,32,6,108.07,18.75,15.75
SA Abbott,ODI,21,374,397,32,13,94.21,17.81,14.27
T Tshose,T20,35,374,345,20,19,108.41,10.69,14.75
Adnan Idrees,T20,29,374,298,48,15,125.5,12.9,17.42
Ehsan Khan,T20,53,373,347,21,15,107.49,7.04,13.69
AA Onikoyi,T20,26,372,435,26,12,85.52,14.31,12.37
Washington Sundar,ODI,20,372,459,25,11,81.05,18.6,12.62
R Lutaaya,T20,24,371,298,42,9,124.5,15.46,17.38
M Ntini,Test,48,370,849,48,4,43.58,7.71,5.79
P Sharma,T20,25,369,376,41,7,98.14,14.76,13.91
S Pradhan,T20,26,367,429,41,4,85.55,14.12,12.08
B Masaba,T20,34,366,385,37,6,95.06,10.76,12.62
Raza Iqbal,T20,26,366,348,42,8,105.17,14.08,14.69
DW Steyn,ODI,51,365,592,35,9,61.66,7.16,7.98
Pyae Phyo Wai,T20,28,365,492,22,6,74.19,13.04,10.34
Zahir Mohammed,T20,28,365,279,29,22,130.82,13.04,18.22
KM Dabengwa,ODI,23,364,631,20,6,57.69,15.83,8.87
SP Narine,ODI,42,363,455,36,12,79.78,8.64,10.66
B Bhandari,T20,26,363,314,29,16,115.61,13.96,16.22
Mohammad Amir,ODI,30,363,457,32,8,79.43,12.1,11.03
DA Blignaut,T20,25,362,406,18,15,89.16,14.48,12.9
DM Gondaria,T20,20,362,331,37,5,109.37,18.1,15.77
