batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
DT Johnston,ODI,29,361,473,27,8,76.32,12.45,10.65
A Shreshta,T20,20,361,376,34,5,96.01,18.05,14.09
Naseem Khushi,ODI,24,360,335,24,19,107.46,15.0,15.53
G Kansonkho,T20,29,360,423,36,3,85.11,12.41,11.55
NM Odhiambo,T20,31,359,351,25,12,102.28,11.58,13.83
L Ronchi,T20,25,359,263,30,14,136.5,14.36,18.73
S Hook,T20,23,359,372,28,15,96.51,15.61,14.15
Shah Abrar Hussain,T20,20,358,364,21,19,98.35,17.9,14.97
G Motie,ODI,22,357,366,37,15,97.54,16.23,14.52
T Thushara,ODI,23,357,386,31,7,92.49,15.52,13.23
E Sebareme,T20,40,356,368,22,11,96.74,8.9,12.52
P Silas,T20,29,356,351,27,4,101.42,12.28,13.43
Saad Bin Zafar,ODI,25,356,483,32,4,73.71,14.24,10.53
CN Greaves,ODI,22,355,414,31,8,85.75,16.14,12.59
BW Hilfenhaus,Test,22,355,657,49,5,54.03,16.14,8.8
Surya Anand,T20,21,355,340,12,13,104.41,16.9,15.04
MC Henriques,T20,21,355,292,17,15,121.58,16.9,17.3
JJ Atkinson,T20,24,354,312,35,11,113.46,14.75,15.9
S Austin,T20,23,354,372,28,5,95.16,15.39,13.37
AB Agarkar,ODI,37,352,552,26,6,63.77,9.51,8.4
CK Jasmat,T20,22,350,333,25,17,105.11,15.91,15.32
J Singye,T20,22,349,485,16,5,71.96,15.86,10.47
Sazib Bhuiyan,T20,23,349,273,40,13,127.84,15.17,17.9
Mukhtar Ghulami,T20,23,348,316,31,16,110.13,15.13,15.79
JJ Bumrah,Test,47,348,847,38,11,41.09,7.4,5.66
O Olaleye,T20,23,347,364,29,8,95.33,15.09,13.5
Ikramullah Khan,T20,26,347,309,31,12,112.3,13.35,15.47
K Hinds,T20,26,346,346,24,20,100.0,13.31,14.33
JA Warrican,Test,22,345,618,31,8,55.83,15.68,8.84
TC Bruce,T20,21,344,290,26,10,118.62,16.38,16.66
GP Meade,T20,29,343,352,24,9,97.44,11.83,13.09
SK Awiah,T20,25,343,459,28,5,74.73,13.72,10.53
Shaheen Shah Afridi,T20,40,343,282,19,25,121.63,8.57,16.22
DT Tiripano,ODI,26,343,535,27,8,64.11,13.19,9.29
S Chanderpaul,T20,22,343,357,34,5,96.08,15.59,13.58
Najjam Shahzad,T20,22,342,279,27,19,122.58,15.55,17.5
BR McDermott,T20,23,342,347,17,13,98.56,14.87,13.97
Mohammad Rizlan,T20,23,341,299,21,21,114.05,14.83,16.35
A Patmore,T20,24,338,385,35,0,87.79,14.08,11.99
R Rampaul,ODI,35,338,450,31,13,75.11,9.66,10.25
GK Ghalley,T20,30,338,366,23,15,92.35,11.27,12.68
Arslan Amjad,T20,23,337,327,25,16,103.06,14.65,14.74
Haroon Arshad,T20,24,336,262,26,9,128.24,14.0,17.28
K Irakoze,T20,40,335,324,20,17,103.4,8.38,13.51
Zain Ul Abidin,T20,31,335,305,18,17,109.84,10.81,14.76
V Mbazo,T20,33,332,390,22,6,85.13,10.06,11.03
Muhammad Umar,T20,21,331,292,12,22,113.36,15.76,16.38
MM Baig,T20,25,331,273,17,20,121.25,13.24,16.78
SN Thakur,ODI,24,329,321,31,9,102.49,13.71,14.15
R Hekure,ODI,22,328,436,26,6,75.23,14.91,10.84
MH Yardy,ODI,24,326,490,20,1,66.53,13.58,9.15
KA Maharaj,ODI,31,324,418,37,4,77.51,10.45,10.25
Saeed Ajmal,ODI,66,323,539,25,0,59.93,4.89,6.61
A Gbla,T20,29,322,322,21,13,100.0,11.1,13.41
G Ngegba,T20,20,322,329,32,3,97.87,16.1,13.73
A Dananjaya,ODI,29,321,446,29,3,71.97,11.07,9.54
HER Tyler,T20,26,319,257,30,17,124.12,12.27,16.92
MRJ Watt,T20,37,319,284,28,7,112.32,8.62,14.16
R Mutumbami,ODI,23,319,447,36,5,71.36,13.87,10.23
M Muralitharan,ODI,64,317,386,30,7,82.12,4.95,9.78
E Niyomugabo,T20,35,317,331,18,11,95.77,9.06,12.33
NJ O'Brien,T20,20,316,331,25,6,95.47,15.8,13.45
Farhad Reza,ODI,25,316,522,34,6,60.54,12.64,8.69
RW Price,ODI,44,315,541,26,4,58.23,7.16,7.09
LM Jongwe,ODI,28,315,398,31,5,79.15,11.25,10.58
JA Fitzgerald,T20,30,315,237,14,20,132.91,10.5,17.59
W Boshoff,T20,20,314,351,17,7,89.46,15.7,12.65
LN Oluoch,T20,35,311,298,23,10,104.36,8.89,13.34
BM Scholtz,ODI,41,310,483,24,4,64.18,7.56,7.86
Shaheen Shah Afridi,ODI,37,310,362,26,13,85.64,8.38,11.17
AJ Hosein,ODI,30,309,409,18,12,75.55,10.3,10.17
KAJ Roach,ODI,52,308,610,24,6,50.49,5.92,5.98
Mohamed Rishwan,T20,24,308,377,25,12,81.7,12.83,11.51
Nasir Hossain,T20,20,308,288,24,5,106.94,15.4,14.68
Shiraz Khan,T20,28,308,335,13,14,91.94,11.0,12.34
Wahab Riaz,Test,27,306,729,32,5,41.98,11.33,6.08
ADS Fletcher,ODI,23,305,503,36,6,60.64,13.26,8.84
F Banunaek,T20,37,305,385,22,6,79.22,8.24,9.91
T Musekiwa,T20,31,303,231,24,12,131.17,9.77,16.89
TG Southee,T20,46,303,224,20,18,135.27,6.59,17.04
R Trumpelmann,T20,30,302,254,20,16,118.9,10.07,15.63
DO Obuya,ODI,23,302,583,25,3,51.8,13.13,7.42
AR White,ODI,23,301,498,23,0,60.44,13.09,8.26
Amjad Sher,T20,29,301,267,19,13,112.73,10.38,14.76
A Nel,Test,22,300,600,37,5,50.0,13.64,7.57
S Vijay Unni,T20,36,300,355,22,5,84.51,8.33,10.5
NL McCullum,T20,38,299,310,19,8,96.45,7.87,11.99
J Sumerauer,T20,26,299,223,20,12,134.08,11.5,17.53
Shantanu Kaveri,T20,24,298,393,17,1,75.83,12.42,9.97
HA Jackson,T20,23,298,378,22,4,78.84,12.96,10.68
K Doriga,T20,28,298,297,18,10,100.34,10.64,13.12
Mosaddek Hossain,T20,26,296,277,19,10,106.86,11.38,14.07
AM Kimote,T20,39,295,317,24,6,93.06,7.56,11.46
NM Hauritz,ODI,27,295,317,20,6,93.06,10.93,12.09
Y Saranonnakkun,T20,39,294,362,23,10,81.22,7.54,10.23
FA Allen,T20,28,293,220,20,21,133.18,10.46,17.72
Jasdeep Singh,ODI,26,293,427,19,9,68.62,11.27,9.34
AJ Hosein,T20,36,293,268,18,15,109.33,8.14,13.99
BJ McCarthy,T20,34,293,253,19,16,115.81,8.62,14.94
P Kumar,ODI,33,292,338,25,7,86.39,8.85,10.98
PVD Chameera,ODI,36,292,502,22,3,58.17,8.11,7.13
KK Lin Thu,T20,29,291,444,25,3,65.54,10.03,8.45
DR Patankar,T20,22,291,309,30,6,94.17,13.23,12.81
Mashrafe Mortaza,T20,35,291,230,26,15,126.52,8.31,16.21
Thuya Aung,T20,29,291,518,20,5,56.18,10.03,7.36
Omar Rassol,T20,20,291,270,23,18,107.78,14.55,15.32
SMSM Senanayake,ODI,33,290,321,31,6,90.34,8.79,11.47
C Brennan,T20,22,289,257,18,13,112.45,13.14,15.25
CR Brathwaite,T20,25,289,267,13,19,108.24,11.56,14.7
S Veerapathiran,T20,30,289,246,19,16,117.48,9.63,15.34
Sahir Naqash,T20,22,288,219,18,11,131.51,13.09,17.44
AM Blignaut,ODI,20,284,264,33,5,107.58,14.2,14.61
M Theekshana,ODI,30,284,580,19,1,48.97,9.47,6.12
Khaled Mahmud,ODI,26,283,483,21,2,58.59,10.88,7.66
C Munoz-Mills,T20,24,280,221,23,12,126.7,11.67,16.68
Fanyan Mughal,T20,23,279,276,23,14,101.09,12.13,13.78
ST Finn,Test,31,279,902,36,0,30.93,9.0,4.0
NO Miller,ODI,26,279,362,23,4,77.07,10.73,10.01
CN Greaves,T20,25,278,270,22,7,102.96,11.12,13.39
AC Agar,T20,28,277,285,19,9,97.19,9.89,12.51
Ali Naseer,T20,24,277,225,18,11,123.11,11.54,16.09
Ali Nayyer,T20,20,275,223,15,13,123.32,13.75,16.63
Mohammad Naveed,ODI,27,275,267,23,16,103.0,10.19,13.73
M Muralitharan,Test,28,275,355,29,10,77.46,9.82,10.29
SS McKechnie,T20,23,273,287,20,3,95.12,11.87,12.32
C Karunaratne,T20,33,272,266,13,11,102.26,8.24,12.82
PWA Mulder,ODI,21,272,308,27,3,88.31,12.95,11.8
FH Edwards,Test,34,271,918,32,1,29.52,7.97,3.61
MJ Henry,ODI,37,270,298,22,11,90.6,7.3,11.34
T Rossi,T20,21,270,242,15,13,111.57,12.86,15.02
Rizwan Butt,T20,42,270,242,7,20,111.57,6.43,14.02
Anoop Orsu,T20,22,269,235,20,13,114.47,12.23,15.31
Noman Amjad,T20,29,269,273,14,7,98.53,9.28,12.36
P Aho,T20,34,268,245,19,6,109.39,7.88,13.41
Sohaib Maqsood,T20,20,268,238,20,11,112.61,13.4,15.2
G Toka,ODI,21,268,496,21,2,54.03,12.76,7.46
M Morkel,ODI,42,268,364,24,7,73.63,6.38,8.89
R Abdulkareem,T20,30,267,322,19,9,82.92,8.9,10.57
AT Carey,T20,28,267,250,23,7,106.8,9.54,13.54
RE van der Merwe,ODI,26,267,302,17,7,88.41,10.27,11.37
Mohammad Saifuddin,T20,22,266,238,21,10,111.76,12.09,14.79
Rafiullah,T20,22,265,160,13,26,165.62,12.05,22.13
Rubel Hossain,Test,27,265,603,34,4,43.95,9.81,5.93
Washington Sundar,T20,23,265,212,21,14,125.0,11.52,16.51
BA Carse,ODI,21,264,341,16,9,77.42,12.57,10.59
AR Cusack,ODI,23,264,422,23,2,62.56,11.48,8.26
MJ Hoggard,Test,31,263,1132,28,0,23.23,8.48,2.83
Mehran Khan,T20,32,262,257,14,12,101.95,8.19,12.83
R Tari,T20,26,262,256,11,9,102.34,10.08,13.05
UDU Chandana,ODI,20,261,397,19,2,65.74,13.05,8.9
KH Abe,T20,21,260,227,16,13,114.54,12.38,15.28
Waqas Barkat,T20,25,259,286,20,0,90.56,10.36,11.28
IDR Bradshaw,ODI,25,259,423,18,4,61.23,10.36,7.91
Z Bimenyimana,T20,44,258,222,15,15,116.22,5.86,14.28
JE Taylor,ODI,38,258,300,29,5,86.0,6.79,10.41
A Natubhai Ahir,T20,20,257,283,17,12,90.81,12.85,12.45
Sheraz Sheikh,T20,24,257,276,12,18,93.12,10.71,12.57
Shaheen Shah Afridi,Test,28,256,599,33,5,42.74,9.14,5.68
I Udana,T20,24,256,191,16,14,134.03,10.67,17.36
Ritik Tomar,T20,21,255,238,21,9,107.14,12.14,14.17
JM Anderson,ODI,64,254,514,22,0,49.42,3.97,5.02
Sayed Monib,T20,24,253,144,14,22,175.69,10.54,22.82
Yasin Patel,T20,29,253,298,10,8,84.9,8.72,10.57
Khizar Hayat,T20,29,253,270,15,5,93.7,8.72,11.54
S Sreesanth,Test,25,252,485,34,4,51.96,10.08,6.94
NM Coulter-Nile,ODI,20,252,275,20,6,91.64,12.6,12.19
Tushar Imran,ODI,21,250,477,27,1,52.41,11.9,7.09
SR Clark,Test,21,248,355,22,6,69.86,11.81,9.41
Mohammad Sami,ODI,24,246,362,12,8,67.96,10.25,8.84
Festus Benn,T20,20,246,330,24,2,74.55,12.3,9.87
Junaid Siddique,T20,33,245,207,22,10,118.36,7.42,14.64
R Ngarava,ODI,29,244,291,25,8,83.85,8.41,10.57
IS Sodhi,T20,40,243,228,13,13,106.58,6.08,12.99
Shakeel Ahmed,T20,25,243,262,16,9,92.75,9.72,11.85
Harmeet Singh,T20,21,242,173,13,15,139.88,11.52,18.24
Aaftab Alam Khan,T20,21,241,209,20,9,115.31,11.48,15.0
Sandeep Goud,T20,35,240,309,10,11,77.67,6.86,9.48
A Randhawa,T20,22,239,322,14,4,74.22,10.86,9.51
WP Masakadza,ODI,22,239,382,21,2,62.57,10.86,8.08
SC Getkate,T20,21,238,209,9,13,113.88,11.33,14.87
JNT Seales,Test,26,235,573,17,10,41.01,9.04,5.49
R Sakurano-Thomas,T20,24,235,254,11,2,92.52,9.79,11.36
F Suluoto,T20,21,234,248,15,12,94.35,11.14,12.48
J Miyaji,T20,27,233,222,5,14,104.95,8.63,13.24
Mohamed Azzam,T20,30,231,325,13,2,71.08,7.7,8.36
P Murungi,T20,23,231,201,21,8,114.93,10.04,14.6
Danish Kaneria,Test,30,231,457,28,2,50.55,7.7,6.06
Muslim Yar,T20,20,229,196,16,11,116.84,11.45,15.22
RAS Lakmal,ODI,45,229,408,16,3,56.13,5.09,6.11
ST Gabriel,Test,53,229,661,28,6,34.64,4.32,3.68
Taskin Ahmed,ODI,39,228,414,15,8,55.07,5.85,6.41
Mohammed Shami,ODI,48,224,282,17,9,79.43,4.67,9.21
Akhil Anil,T20,20,222,195,17,10,113.85,11.1,14.73
Delawar Khan,T20,20,221,175,13,13,126.29,11.05,16.35
Taskin Ahmed,T20,36,221,224,19,8,98.66,6.14,11.81
V Zimonjic,T20,22,220,212,22,3,103.77,10.0,12.95
E Mathew,T20,22,219,245,11,6,89.39,9.95,11.22
AY Patel,Test,21,219,575,22,5,38.09,10.43,5.17
DK Anefie,T20,21,218,189,9,11,115.34,10.38,14.72
Simi Singh,T20,30,218,215,16,4,101.4,7.27,12.09
PM Seelaar,ODI,20,218,366,20,3,59.56,10.9,7.73
Shoaib Akhtar,ODI,39,217,249,14,10,87.15,5.56,10.33
MS Panesar,Test,43,217,726,23,1,29.89,5.05,2.88
Nasrulla Rana,T20,33,217,206,13,10,105.34,6.58,12.73
TA Boult,ODI,50,216,284,20,7,76.06,4.32,8.64
TT Bresnan,T20,21,216,172,16,6,125.58,10.29,15.75
D Parashar,T20,22,216,207,9,8,104.35,9.82,13.09
D Sabir,T20,21,215,192,18,4,111.98,10.24,14.0
WP Masakadza,T20,37,215,248,13,5,86.69,5.81,10.03
S Prasanna,T20,20,214,176,13,13,121.59,10.7,15.7
DG Blampied,T20,21,214,226,11,1,94.69,10.19,11.62
K Nestor,T20,24,213,242,19,7,88.02,8.88,10.99
N Khanna,T20,20,213,173,24,4,123.12,10.65,15.51
IS Sodhi,ODI,24,210,306,8,10,68.63,8.75,8.63
CN Kakuru,T20,24,209,212,19,2,98.58,8.71,11.95
A Dutt,ODI,36,207,359,9,8,57.66,5.75,6.59
DJ Willey,T20,23,206,161,15,11,127.95,8.96,16.03
DL Vettori,T20,21,205,197,14,2,104.06,9.76,12.76
WJ Cope,T20,24,203,210,28,0,96.67,8.46,11.67
Iftikhar Anjum,ODI,28,203,335,12,3,60.6,7.25,7.0
M Yunusu Issa,T20,26,203,173,14,9,117.34,7.81,14.38
Kuldeep Yadav,ODI,38,202,417,15,0,48.44,5.32,5.0
Qamar Mushtaque,T20,23,201,218,13,6,92.2,8.74,11.32
J Botha,T20,20,201,171,15,9,117.54,10.05,14.86
Vinay Ravi,T20,26,199,197,14,6,101.02,7.65,12.18
Rishad Hossain,T20,29,197,167,12,15,117.96,6.79,14.55
R Coker,T20,25,197,329,14,2,59.88,7.88,7.0
KMDN Kulasekara,T20,29,196,184,14,5,106.52,6.76,12.61
Sohail Tanvir,T20,22,196,172,16,9,113.95,8.91,14.2
KM Jarvis,ODI,28,195,320,18,3,60.94,6.96,7.05
Usman Najeeb,T20,20,194,151,9,13,128.48,9.7,16.26
OF Smith,T20,20,193,148,13,12,130.41,9.65,16.48
JC Archer,ODI,20,193,189,20,7,102.12,9.65,12.85
T Panyangara,ODI,38,192,389,17,3,49.36,5.05,5.25
Tanzim Hasan Sakib,T20,21,192,180,13,8,106.67,9.14,13.26
U Aryaman Sunil,T20,21,191,156,11,12,122.44,9.1,15.37
CJ McKay,ODI,29,190,343,15,2,55.39,6.55,6.19
DR Tuffey,ODI,21,188,200,13,6,94.0,8.95,11.56
N Nuntarach,T20,29,187,310,10,1,60.32,6.45,6.64
Ibrahim Hassan,T20,28,187,257,9,5,72.76,6.68,8.42
H Lin Aung,T20,28,187,314,9,10,59.55,6.68,7.1
BAW Mendis,ODI,39,185,267,16,2,69.29,4.74,7.52
K Rabada,T20,27,184,167,18,6,110.18,6.81,13.16
CJ Jordan,ODI,23,184,218,12,5,84.4,8.0,10.13
Ainool Hafizs,T20,29,184,203,12,4,90.64,6.34,10.5
H Lin Oo,T20,23,184,230,18,1,80.0,8.0,9.45
SJ Benn,ODI,29,182,242,19,3,75.21,6.28,8.65
SZ Vayani,T20,25,182,196,15,4,92.86,7.28,10.99
SM Sharif,T20,31,182,180,9,5,101.11,5.87,11.69
AF Milne,ODI,22,180,211,11,4,85.31,8.18,10.2
E Rukiriza,T20,40,178,248,10,4,71.77,4.45,7.79
TL Chatara,ODI,45,176,369,15,2,47.7,3.91,4.71
CRD Fernando,ODI,34,175,266,17,2,65.79,5.15,7.18
WD Parnell,T20,21,174,189,13,4,92.06,8.29,11.06
NW Bracken,ODI,31,174,265,11,3,65.66,5.61,7.23
P Suanchuai,T20,20,173,275,12,3,62.91,8.65,7.52
SE Bond,ODI,29,173,271,10,3,63.84,5.97,7.07
C Bah,T20,21,173,173,12,6,100.0,8.24,12.12
SR Thompson,T20,21,171,147,10,6,116.33,8.14,14.05
F Nsubuga,T20,21,170,162,9,10,104.94,8.1,12.87
F Achelam,T20,22,169,172,9,10,98.26,7.68,11.98
BJ McCarthy,ODI,21,169,269,14,2,62.83,8.05,7.36
G Motie,T20,20,166,138,11,11,120.29,8.3,14.86
AL Phehlukwayo,T20,25,166,159,16,5,104.4,6.64,12.32
Umar Gul,T20,25,165,166,11,10,99.4,6.6,11.92
D Bishoo,ODI,24,164,265,17,1,61.89,6.83,6.97
AU Rashid,T20,40,163,192,13,1,84.9,4.08,9.16
KP Meiyappan,ODI,21,163,342,11,0,47.66,7.76,5.29
JC Tredwell,ODI,25,163,247,9,4,65.99,6.52,7.47
MVT Fernando,Test,22,161,617,16,1,26.09,7.32,2.7
Mustafizur Rahman,ODI,50,160,335,17,1,47.76,3.2,4.52
Imran Tahir,ODI,32,157,233,21,1,67.38,4.91,7.3
SP Narine,T20,20,155,149,13,5,104.03,7.75,12.44
PJ Cummins,T20,21,155,127,11,7,122.05,7.38,14.64
Mohammed Siraj,Test,39,154,456,16,2,33.77,3.95,3.01
Khin Aye,T20,27,151,345,7,3,43.77,5.59,4.49
PJ Ongondo,ODI,26,150,250,9,4,60.0,5.77,6.58
CA Young,ODI,23,149,175,12,5,85.14,6.48,9.87
J Jemison,T20,20,149,230,10,1,64.78,7.45,7.33
Muhammad Nadir,T20,28,148,207,10,5,71.5,5.29,7.94
Hasan Ali,T20,20,147,94,7,12,156.38,7.35,19.03
TK Joseph,T20,23,147,168,7,5,87.5,6.39,10.07
MA Wood,ODI,22,147,143,13,5,102.8,6.68,12.06
D Wheatley,T20,21,146,186,10,4,78.49,6.95,9.07
SN Netravalkar,ODI,31,145,241,12,2,60.17,4.68,6.3
Zahoor Khan,ODI,38,143,259,10,4,55.21,3.76,5.59
Mohameed Taiwo,T20,28,143,201,8,3,71.14,5.11,7.72
TJ Murtagh,ODI,20,143,190,14,1,75.26,7.15,8.59
T Wangchuk,T20,28,141,199,8,3,70.85,5.04,7.66
HMRKB Herath,ODI,29,140,229,10,2,61.14,4.83,6.41
C Wright,T20,23,139,182,5,3,76.37,6.04,8.49
N Senamontree,T20,30,137,234,3,0,58.55,4.57,5.83
PA van Meekeren,T20,23,136,126,9,6,107.94,5.91,12.52
SL Malinga,T20,31,136,164,9,5,82.93,4.39,9.12
ST Finn,ODI,27,136,228,11,3,59.65,5.04,6.34
JR Hazlewood,ODI,33,135,169,14,3,79.88,4.09,8.64
CBRLS Kumara,Test,29,135,462,21,0,29.22,4.66,2.52
Abdur Rehman,ODI,22,132,234,10,1,56.41,6.0,6.0
N Pradeep,Test,28,132,362,19,0,36.46,4.71,3.38
Shafiul Islam,ODI,33,132,242,13,2,54.55,4.0,5.47
P Thongsa,T20,20,130,191,5,0,68.06,6.5,7.39
Kaleemullah,ODI,27,125,139,8,7,89.93,4.63,10.11
Washeem Abbas,T20,28,124,107,8,8,115.89,4.43,13.28
L Ngidi,ODI,28,123,253,8,6,48.62,4.39,4.98
J Little,T20,23,123,144,10,3,85.42,5.35,9.5
Sultan Ahmed,T20,22,122,124,7,4,98.39,5.55,11.13
LH Ferguson,ODI,30,122,246,6,3,49.59,4.07,4.83
Mohammad Abbas,Test,25,120,689,13,2,17.42,4.8,1.11
C Kyewuta,T20,20,120,111,9,4,108.11,6.0,12.43
SCJ Broad,T20,25,118,119,7,3,99.16,4.72,11.0
KS Bagabena,T20,20,117,142,5,1,82.39,5.85,9.04
Dawood Ahmadzai,T20,21,117,167,10,0,70.06,5.57,7.5
PVD Chameera,T20,35,116,155,9,1,74.84,3.31,7.67
B Muzarabani,ODI,32,115,214,9,3,53.74,3.59,5.27
Rubel Hossain,ODI,39,112,226,11,2,49.56,2.87,4.59
PA van Meekeren,ODI,23,111,162,8,3,68.52,4.83,7.3
K Piet,T20,22,109,148,5,1,73.65,4.95,7.79
Haris Rauf,T20,28,109,111,8,5,98.2,3.89,10.83
LV van Beek,T20,23,108,137,4,1,78.83,4.7,8.35
M Theekshana,T20,34,105,171,6,2,61.4,3.09,5.99
Haris Rauf,ODI,20,104,127,6,9,81.89,5.2,9.3
XJ Doherty,ODI,22,101,188,5,1,53.72,4.59,5.28
M Ntini,ODI,26,101,153,7,4,66.01,3.88,6.83
Ibrahim Rizan,T20,28,98,147,6,1,66.67,3.5,6.65
Ali Dawood,T20,24,98,121,6,3,80.99,4.08,8.62
L Ngidi,Test,20,97,230,14,1,42.17,4.85,4.05
R Ngarava,T20,28,95,85,10,4,111.76,3.39,12.33
CS Martin,Test,49,92,476,10,0,19.33,1.88,0.56
Shoriful Islam,ODI,21,92,110,7,4,83.64,4.38,9.06
Mustafizur Rahman,T20,32,91,138,4,4,65.94,2.84,6.56
JJ Bumrah,ODI,21,90,163,10,1,55.21,4.29,5.46
A Nehra,ODI,31,90,174,9,2,51.72,2.9,4.8
S Rungrueang,T20,21,89,149,1,3,59.73,4.24,5.99
PP Ojha,Test,22,89,493,7,0,18.05,4.05,0.8
T Mupariwa,ODI,21,87,208,7,2,41.83,4.14,3.81
Arshdeep Singh,T20,26,87,88,9,3,98.86,3.35,10.67
UT Yadav,ODI,21,79,136,8,1,58.09,3.76,5.66
WB Rankin,ODI,20,78,183,3,1,42.62,3.9,3.74
S Lamichhane,T20,21,78,87,3,2,89.66,3.71,9.47
BM Scholtz,T20,21,77,84,7,0,91.67,3.67,9.65
Syed Rasel,ODI,22,76,168,7,0,45.24,3.45,3.96
MM Patel,ODI,24,74,114,7,1,64.91,3.08,6.33
CA Young,T20,22,73,101,5,2,72.28,3.32,7.3
I Sharma,ODI,26,72,209,6,0,34.45,2.77,2.5
A Zampa,T20,26,70,91,6,0,76.92,2.69,7.64
Junaid Khan,ODI,23,68,134,4,1,50.75,2.96,4.54
AM Fernando,Test,20,58,222,10,1,26.13,2.9,1.6
M Mooketsi,T20,20,57,113,2,0,50.44,2.85,4.38
A Shukla,T20,21,54,97,3,2,55.67,2.57,5.08
Mohammad Irfan,ODI,30,48,152,5,2,31.58,1.6,1.98
B Muzarabani,T20,22,48,71,6,1,67.61,2.18,6.43
Abdul Majid Abbasi,T20,20,47,91,1,1,51.65,2.35,4.46
LN Rajbanshi,ODI,23,42,166,3,0,25.3,1.83,1.11
CB Mpofu,ODI,30,40,170,0,0,23.53,1.33,0.76
Bilal Khan,ODI,20,30,75,1,1,40.0,1.5,2.85
