bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
R Vinay Kumar,ODI,31,1459,1448,46,243.2,5.95,31.48,31.72,12.81
PM Seelaar,T20,52,901,1081,46,150.2,7.2,23.5,19.59,12.65
B Evans,T20,28,581,775,46,96.8,8.01,16.85,12.63,15.3
Khalid Ahmadi,T20,27,645,682,46,107.5,6.34,14.83,14.02,19.93
Mohamed Shafeeq,T20,42,947,1172,46,157.8,7.43,25.48,20.59,11.54
Mohammad Wasim,T20,33,675,920,46,112.5,8.18,20.0,14.67,12.92
BFW de Leede,T20,38,687,873,46,114.5,7.62,18.98,14.93,14.3
S Muniandy,T20,48,818,1144,46,136.3,8.39,24.87,17.78,10.43
CR Brathwaite,ODI,37,1725,1647,46,287.5,5.73,35.8,37.5,12.59
KW Richardson,T20,35,755,1025,46,125.8,8.15,22.28,16.41,11.79
K Waiswa,T20,32,579,679,45,96.5,7.04,15.09,12.87,18.31
Shakeel Ahmed,T20,44,942,1040,45,157.0,6.62,23.11,20.93,13.8
TM Odoyo,ODI,36,1635,1172,45,272.5,4.3,26.04,36.33,19.69
Aqib Ilyas,T20,35,702,708,45,117.0,6.05,15.73,15.6,19.63
Mohammad Wasim,ODI,26,1267,1186,45,211.2,5.62,26.36,28.16,14.92
AD Mathews,T20,68,1137,1355,45,189.5,7.15,30.11,25.27,10.62
Kaleemullah,ODI,45,2037,1469,45,339.5,4.33,32.64,45.27,17.97
Kaleem Sana,ODI,24,1289,935,45,214.8,4.35,20.78,28.64,21.57
KW Richardson,ODI,25,1338,1251,45,223.0,5.61,27.8,29.73,14.52
BFW de Leede,ODI,38,1506,1463,45,251.0,5.83,32.51,33.47,12.84
Imad Wasim,ODI,52,2388,1936,44,398.0,4.86,44.0,54.27,14.24
JS Patel,ODI,36,1789,1500,44,298.2,5.03,34.09,40.66,14.86
S Veerapathiran,T20,38,716,955,44,119.3,8.01,21.7,16.27,12.16
I Ntirenganya,T20,40,848,911,44,141.3,6.45,20.7,19.27,15.22
Tanzim Hasan Sakib,T20,36,807,1092,44,134.5,8.12,24.82,18.34,10.7
JP Duminy,Test,39,2707,1640,44,451.2,3.63,37.27,61.52,21.07
JEC Franklin,Test,21,3113,1814,44,518.8,3.5,41.23,70.75,21.55
V Vijh,T20,35,699,908,44,116.5,7.79,20.64,15.89,12.99
Namgay Thinley,T20,35,714,676,44,119.0,5.68,15.36,16.23,20.84
AR Nurse,ODI,45,2187,2009,44,364.5,5.51,45.66,49.7,11.94
Raja Adeel,T20,28,595,575,44,99.2,5.8,13.07,13.52,23.18
JW Hastings,ODI,29,1532,1271,44,255.3,4.98,28.89,34.82,16.12
SM Curran,ODI,40,1548,1544,43,258.0,5.98,35.91,36.0,11.75
AC Evans,T20,29,676,880,43,112.7,7.81,20.47,15.72,13.01
Mohammad Saifuddin,ODI,27,1277,1267,43,212.8,5.95,29.47,29.7,13.1
Sami Sohail,T20,34,629,734,43,104.8,7.0,17.07,14.63,16.5
DM de Silva,Test,58,4094,2288,43,682.3,3.35,53.21,95.21,21.88
M Koli,T20,30,728,814,43,121.3,6.71,18.93,16.93,15.7
G Motie,ODI,33,1692,1335,43,282.0,4.73,31.05,39.35,16.47
NK Patel,ODI,36,1552,1210,43,258.7,4.68,28.14,36.09,17.36
C Rumistrzewicz,T20,25,556,441,42,92.7,4.76,10.5,13.24,30.6
Sazib Bhuiyan,T20,24,477,649,42,79.5,8.16,15.45,11.36,16.18
JNT Seales,ODI,28,1272,1224,42,212.0,5.77,29.14,30.29,13.58
MG Johnson,T20,30,702,820,42,117.0,7.01,19.52,16.71,14.75
MD Shanaka,T20,70,804,1068,42,134.0,7.97,25.43,19.14,10.58
Mashrafe Mortaza,Test,20,3253,1832,42,542.2,3.38,43.62,77.45,22.07
Sahel Zadran,T20,37,755,894,42,125.8,7.11,21.29,17.98,13.6
SK Raina,ODI,100,2147,1832,42,357.8,5.12,43.62,51.12,13.21
VD Philander,ODI,28,1319,1015,42,219.8,4.62,24.17,31.4,18.79
HH Streak,ODI,30,1550,1068,42,258.3,4.13,25.43,36.9,20.53
Syazrul Idrus,T20,25,488,565,42,81.3,6.95,13.45,11.62,20.21
Ikramullah Khan,T20,35,693,943,42,115.5,8.16,22.45,16.5,11.52
Mahmudullah,Test,43,3403,1984,42,567.2,3.5,47.24,81.02,20.93
P Mishra,T20,42,945,1089,42,157.5,6.91,25.93,22.5,12.06
Nasrulla Rana,T20,48,777,1026,42,129.5,7.92,24.43,18.5,11.01
CH Gayle,Test,38,3786,1745,41,631.0,2.77,42.56,92.34,27.78
M Prasidh Krishna,ODI,23,1130,1121,41,188.3,5.95,27.34,27.56,13.56
KS Williamson,ODI,65,1494,1323,41,249.0,5.31,32.27,36.44,14.11
Ali Naseer,T20,33,688,892,41,114.7,7.78,21.76,16.78,12.3
Muhammad Amir,T20,29,516,584,41,86.0,6.79,14.24,12.59,19.49
AF Giles,ODI,33,1720,1218,41,286.7,4.25,29.71,41.95,18.7
Sirajullah Khadim,T20,28,576,594,41,96.0,6.19,14.49,14.05,20.4
Mohammad Nadeem,T20,53,827,1070,41,137.8,7.76,26.1,20.17,10.6
RL Chase,ODI,55,2309,1952,41,384.8,5.07,47.61,56.32,12.98
Khawar Ali,ODI,32,1543,1216,41,257.2,4.73,29.66,37.63,16.66
Khawar Ali,T20,33,604,670,41,100.7,6.65,16.34,14.73,17.65
Wahab Riaz,T20,35,756,992,41,126.0,7.87,24.2,18.44,11.12
RS Bopara,ODI,73,1858,1546,41,309.7,4.99,37.71,45.32,14.26
Mohammad Asif,ODI,32,1751,1373,41,291.8,4.71,33.49,42.71,15.95
RL Chase,T20,49,885,1085,41,147.5,7.36,26.46,21.59,11.08
Sahir Naqash,T20,27,496,597,41,82.7,7.22,14.56,12.1,18.4
B Shikongo,T20,41,692,772,41,115.3,6.7,18.83,16.88,15.69
C Hinze,T20,32,625,549,40,104.2,5.27,13.72,15.62,23.6
KA Pollard,T20,60,862,1165,40,143.7,8.11,29.12,21.55,9.19
RR Patel,T20,36,591,575,40,98.5,5.84,14.38,14.78,21.28
Abbas Afridi,T20,23,438,602,40,73.0,8.25,15.05,10.95,16.39
Fayyaz Butt,ODI,30,1349,1266,40,224.8,5.63,31.65,33.72,13.26
LN Rajbanshi,T20,38,757,818,40,126.2,6.48,20.45,18.92,15.1
J Botha,T20,39,790,847,40,131.7,6.43,21.18,19.75,14.82
MG Bracewell,ODI,38,1704,1397,40,284.0,4.92,34.92,42.6,14.86
I Takahashi,T20,43,694,675,40,115.7,5.83,16.88,17.35,18.92
G Sesay,T20,27,495,452,40,82.5,5.48,11.3,12.38,26.64
H Thaker,T20,40,715,728,40,119.2,6.11,18.2,17.88,17.28
DL Vettori,T20,34,809,785,40,134.8,5.82,19.62,20.23,17.05
C Green,Test,32,2622,1581,40,437.0,3.62,39.52,65.55,20.57
Ijaz Hussain,T20,26,501,585,39,83.5,7.01,15.0,12.85,18.19
GC Murtaza,T20,34,752,885,39,125.3,7.06,22.69,19.28,12.89
GD Arta,T20,40,727,692,39,121.2,5.71,17.74,18.64,18.52
T Mupariwa,ODI,28,1417,1225,39,236.2,5.19,31.41,36.33,14.54
Ebadat Hossain,Test,21,3465,2115,39,577.5,3.66,54.23,88.85,19.2
Mashrafe Mortaza,T20,48,1068,1453,39,178.0,8.16,37.26,27.38,7.43
PWA Mulder,Test,23,2071,1040,39,345.2,3.01,26.67,53.1,27.62
HJ Manenti,T20,21,437,466,39,72.8,6.4,11.95,11.21,23.3
VJ Kingma,ODI,27,1261,1059,39,210.2,5.04,27.15,32.33,16.1
Rizwan Haider,T20,33,591,724,39,98.5,7.35,18.56,15.15,14.66
Simi Singh,T20,42,860,1048,39,143.3,7.31,26.87,22.05,10.93
MN Samuels,Test,30,3246,1855,39,541.0,3.43,47.56,83.23,21.16
C Wright,T20,36,657,738,39,109.5,6.74,18.92,16.85,15.46
SA Abbott,ODI,29,1369,1299,39,228.2,5.69,33.31,35.1,12.71
CBRLS Kumara,ODI,28,1197,1288,39,199.5,6.46,33.03,30.69,10.96
S Bodha,T20,29,551,736,39,91.8,8.02,18.87,14.13,13.5
Rubel Hossain,Test,27,4360,2810,39,726.7,3.87,72.05,111.79,17.48
SR Taylor,ODI,40,1466,1122,39,244.3,4.59,28.77,37.59,17.31
D Jakiel,T20,30,604,705,39,100.7,7.0,18.08,15.49,15.57
DT Johnston,ODI,32,1508,1133,39,251.3,4.51,29.05,38.67,17.57
KV Morea,T20,23,491,594,38,81.8,7.26,15.63,12.92,17.1
UDU Chandana,ODI,26,1255,1022,38,209.2,4.89,26.89,33.03,16.64
TK Curran,ODI,28,1340,1315,38,223.3,5.89,34.61,35.26,11.9
Basil Hameed,T20,34,519,610,38,86.5,7.05,16.05,13.66,17.06
Sarfaraz Ali,T20,37,689,821,38,114.8,7.15,21.61,18.13,13.19
Mudassar Bukhari,T20,25,514,572,38,85.7,6.67,15.05,13.53,18.7
A Nortje,ODI,21,1023,1004,38,170.5,5.89,26.42,26.92,13.83
Mahmudullah,T20,71,861,1049,38,143.5,7.31,27.61,22.66,10.66
Sarawut Maliwan,T20,36,644,700,38,107.3,6.52,18.42,16.95,16.17
SJ Benn,ODI,44,2300,1883,38,383.3,4.91,49.55,60.53,13.19
SI Mahmood,ODI,24,1238,1145,38,206.3,5.55,30.13,32.58,13.7
CJA Amini,T20,42,714,766,38,119.0,6.44,20.16,18.79,15.25
Hamza Tahir,ODI,29,1423,1020,38,237.2,4.3,26.84,37.45,19.04
I Danladi,T20,36,546,537,38,91.0,5.9,14.13,14.37,21.33
GD Elliott,ODI,52,1232,1122,38,205.3,5.47,29.53,32.42,14.07
Amjad Sher,T20,29,670,727,38,111.7,6.51,19.13,17.63,15.72
KP Meiyappan,ODI,31,1228,1123,38,204.7,5.49,29.55,32.32,14.01
S Randiv,ODI,29,1447,1240,38,241.2,5.14,32.63,38.08,14.4
D Pretorius,ODI,26,1154,960,38,192.3,4.99,25.26,30.37,16.81
D Heyliger,ODI,22,1101,908,38,183.5,4.95,23.89,28.97,17.45
D Bishoo,ODI,40,2056,1675,38,342.7,4.89,44.08,54.11,13.7
Nasum Ahmed,T20,39,782,979,38,130.3,7.51,25.76,20.58,10.93
J Sumerauer,T20,35,688,817,38,114.7,7.12,21.5,18.11,13.29
CBRLS Kumara,T20,24,548,756,37,91.3,8.28,20.43,14.81,12.15
S Yeshi,T20,35,737,683,37,122.8,5.56,18.46,19.92,18.31
M Taniyama,T20,32,464,412,37,77.3,5.33,11.14,12.54,27.24
AJ Parmar,T20,21,443,461,37,73.8,6.25,12.46,11.97,22.72
SN Thakur,T20,23,511,756,37,85.2,8.87,20.43,13.81,11.47
DN Wellalage,ODI,30,1405,1188,37,234.2,5.07,32.11,37.97,14.67
SA Abbott,T20,28,587,870,37,97.8,8.9,23.51,15.86,9.96
AC Evans,ODI,26,1299,1165,37,216.5,5.38,31.49,35.11,13.82
Ali Nayyer,T20,25,589,678,37,98.2,6.9,18.32,15.92,15.48
BD Glover,T20,23,497,521,37,82.8,6.29,14.08,13.43,20.47
LT Bichard,T20,30,605,616,37,100.8,6.11,16.65,16.35,18.31
R Shepherd,ODI,37,1486,1351,37,247.7,5.45,36.51,40.16,12.71
JF Mooney,ODI,31,1242,1119,37,207.0,5.41,30.24,33.57,14.02
V Sehwag,Test,51,3262,1647,37,543.7,3.03,44.51,88.16,24.55
YK Pathan,ODI,50,1517,1379,37,252.8,5.45,37.27,41.0,12.6
N Nipiko,T20,22,428,530,37,71.3,7.43,14.32,11.57,18.17
A Vala,T20,38,539,586,37,89.8,6.53,15.84,14.57,18.15
JP Faulkner,T20,24,523,707,36,87.2,8.11,19.64,14.53,12.77
BJ Currie,T20,21,470,460,36,78.3,5.87,12.78,13.06,23.06
JN Frylinck,ODI,31,1298,938,36,216.3,4.34,26.06,36.06,18.98
NM Coulter-Nile,T20,27,602,827,36,100.3,8.25,22.97,16.72,10.9
TM Dilshan,Test,46,3051,1594,36,508.5,3.13,44.28,84.75,23.56
TL Best,ODI,22,1175,994,36,195.8,5.08,27.61,32.64,15.66
C Bosch,T20,22,466,601,36,77.7,7.73,16.69,12.94,15.37
Amjad Mahboob,T20,26,547,740,36,91.2,8.11,20.56,15.19,12.25
Abdur Razzak,T20,28,631,719,36,105.2,6.83,19.97,17.53,14.52
Kaleemullah,T20,39,753,894,36,125.5,7.12,24.83,20.92,11.78
BA Carse,ODI,29,1355,1389,36,225.8,6.15,38.58,37.64,10.55
MG Bracewell,T20,37,626,749,36,104.3,7.18,20.81,17.39,13.45
KJ Abbott,ODI,27,1336,1063,35,222.7,4.77,30.37,38.17,15.98
Mohameed Taiwo,T20,43,751,802,35,125.2,6.41,22.91,21.46,13.81
Abdur Rehman,ODI,30,1588,1130,35,264.7,4.27,32.29,45.37,17.67
Jasdeep Singh,T20,30,665,912,35,110.8,8.23,26.06,19.0,9.7
VP Thamotharam,T20,45,802,964,35,133.7,7.21,27.54,22.91,10.69
CD Collymore,ODI,36,1868,1311,35,311.3,4.21,37.46,53.37,17.1
AG Cremer,T20,29,614,734,35,102.3,7.17,20.97,17.54,13.34
LS Livingstone,T20,41,595,852,35,99.2,8.59,24.34,17.0,9.88
AD Mathews,Test,61,3996,1837,35,666.0,2.76,52.49,114.17,26.75
D Pretorius,T20,27,527,702,35,87.8,8.0,20.06,15.06,12.62
Aayan Afzal Khan,T20,28,609,589,35,101.5,5.8,16.83,17.4,18.8
SA Ahmad,T20,29,565,535,35,94.2,5.68,15.29,16.14,20.5
Harmeet Singh,T20,28,633,724,35,105.5,6.86,20.69,18.09,14.02
A Nehra,T20,26,585,760,35,97.5,7.79,21.71,16.71,12.03
PJ Ongondo,ODI,32,1313,995,34,218.8,4.55,29.26,38.62,17.05
L Bruce,T20,37,738,922,34,123.0,7.5,27.12,21.71,10.31
NO Miller,ODI,38,1720,1417,34,286.7,4.94,41.68,50.59,13.48
Naeem Islam,ODI,41,1422,1159,34,237.0,4.89,34.09,41.82,14.73
RJW Topley,T20,35,739,998,34,123.2,8.1,29.35,21.74,8.84
K Hinds,T20,26,561,528,34,93.5,5.65,15.53,16.5,20.29
AR Cusack,ODI,27,1009,866,34,168.2,5.15,25.47,29.68,15.99
MM Sharma,ODI,25,1153,1033,34,192.2,5.37,30.38,33.91,13.93
Joshua Asia,T20,23,434,343,34,72.3,4.74,10.09,12.76,31.23
Mohammad Naveed,T20,23,530,506,34,88.3,5.73,14.88,15.59,20.74
Ateeq Iqbal,T20,37,675,688,34,112.5,6.12,20.24,19.85,15.7
AM Fernando,ODI,26,1114,1091,34,185.7,5.88,32.09,32.76,12.17
GF Linde,T20,35,662,809,34,110.3,7.33,23.79,19.47,11.74
MM Baig,T20,23,413,500,34,68.8,7.27,14.71,12.15,17.85
JE Taylor,T20,27,574,806,34,95.7,8.42,23.71,16.88,10.28
LA Dawson,T20,30,609,779,33,101.5,7.67,23.61,18.45,11.26
CAK Rajitha,ODI,27,1198,1227,33,199.7,6.14,37.18,36.3,10.59
S Prasanna,ODI,38,1936,1742,33,322.7,5.4,52.79,58.67,10.98
AJ Bichel,ODI,26,1297,943,33,216.2,4.36,28.58,39.3,17.98
CJA Amini,ODI,40,1620,1298,33,270.0,4.81,39.33,49.09,14.17
M Pathirana,T20,23,505,652,33,84.2,7.74,19.76,15.3,13.06
Faheem Ashraf,ODI,42,1717,1486,33,286.2,5.19,45.03,52.03,12.23
P Koech,T20,29,509,621,33,84.8,7.32,18.82,15.42,14.27
PP Chawla,ODI,25,1330,1131,33,221.7,5.1,34.27,40.3,13.92
C Campher,T20,48,777,1048,33,129.5,8.09,31.76,23.55,8.23
AAP Rivero,T20,23,490,428,33,81.7,5.24,12.97,14.85,24.36
Rahmatullah Mangal,T20,22,445,487,33,74.2,6.56,14.76,13.48,18.99
Haider Ali,T20,24,557,583,33,92.8,6.28,17.67,16.88,16.96
A Kirschbaum,T20,29,618,571,33,103.0,5.54,17.3,18.73,19.01
BW Hilfenhaus,ODI,25,1275,1092,33,212.5,5.14,33.09,38.64,14.0
BV Vitori,ODI,20,1063,1026,33,177.2,5.79,31.09,32.21,12.56
C Campher,ODI,33,1109,1016,33,184.8,5.5,30.79,33.61,13.4
SZ Vayani,T20,31,624,711,33,104.0,6.84,21.55,18.91,13.52
JH Davey,T20,26,572,779,33,95.3,8.17,23.61,17.33,10.58
V Zimonjic,T20,29,626,784,33,104.3,7.52,23.76,18.97,11.42
K Klein,T20,20,429,569,33,71.5,7.96,17.24,13.0,14.48
HR Walsh,T20,31,611,796,33,101.8,7.82,24.12,18.52,10.84
RR Powar,ODI,27,1441,1135,33,240.2,4.73,34.39,43.67,15.21
D Suzuki,T20,40,533,605,32,88.8,6.81,18.91,16.66,15.02
BA Pai,T20,34,702,785,32,117.0,6.71,24.53,21.94,12.42
LJ Myott,T20,21,450,460,32,75.0,6.13,14.38,14.06,20.25
N Thushara,T20,27,567,755,32,94.5,7.99,23.59,17.72,10.78
OEG Baartman,T20,21,459,602,32,76.5,7.87,18.81,14.34,13.43
A Kumble,ODI,28,1524,1192,32,254.0,4.69,37.25,47.62,14.84
Naseem Shah,T20,33,746,989,32,124.3,7.96,30.91,23.31,8.54
MJ Clarke,Test,45,2400,1216,32,400.0,3.04,38.0,75.0,24.65
CH Morris,T20,22,506,685,32,84.3,8.13,21.41,15.81,11.59
Karanbir Singh,T20,24,362,460,32,60.3,7.63,14.38,11.31,17.59
Abdullah Akbarjan,T20,21,440,492,32,73.3,6.71,15.38,13.75,18.02
DT Hondo,ODI,32,1393,1186,32,232.2,5.11,37.06,43.53,13.37
Haroon Arshad,T20,33,545,743,32,90.8,8.18,23.22,17.03,10.69
Adnan Idrees,T20,28,500,631,32,83.3,7.58,19.72,15.62,13.27
Ahsan Malik,T20,23,456,594,32,76.0,7.82,18.56,14.25,13.66
M Jansen,T20,28,657,951,32,109.5,8.68,29.72,20.53,7.95
KMA Paul,ODI,26,1151,1166,32,191.8,6.08,36.44,35.97,10.79
TK Curran,T20,29,604,916,32,100.7,9.1,28.62,18.88,7.79
AF Ifill,T20,26,525,540,32,87.5,6.17,16.88,16.41,17.76
Ibrahim Hassan,T20,38,695,847,32,115.8,7.31,26.47,21.72,10.71
I Udana,T20,32,666,925,32,111.0,8.33,28.91,20.81,8.57
DL Chahar,T20,24,533,726,32,88.8,8.18,22.69,16.66,10.92
BV Sears,T20,25,518,707,32,86.3,8.19,22.09,16.19,11.18
R Sakurano-Thomas,T20,33,505,561,32,84.2,6.66,17.53,15.78,16.26
K Piet,T20,28,531,596,32,88.5,6.73,18.62,16.59,15.35
KTGD Prasad,ODI,22,971,938,31,161.8,5.8,30.26,31.32,12.61
DMW Rawlins,T20,34,655,670,31,109.2,6.14,21.61,21.13,14.79
KS Williamson,Test,51,2156,1238,31,359.3,3.45,39.94,69.55,20.99
Harmeet Singh,ODI,20,1091,746,31,181.8,4.1,24.06,35.19,20.52
CR Woakes,T20,32,611,825,31,101.8,8.1,26.61,19.71,9.49
SR Tendulkar,ODI,53,1545,1420,31,257.5,5.51,45.81,49.84,11.05
JW Dernbach,ODI,24,1282,1346,31,213.7,6.3,43.42,41.35,9.32
HV Patel,T20,24,527,791,31,87.8,9.01,25.52,17.0,8.8
K Bhurtel,T20,30,435,505,31,72.5,6.97,16.29,14.03,16.67
Saim Ayub,T20,32,499,602,31,83.2,7.24,19.42,16.1,13.92
MR Gillespie,ODI,26,1342,1221,31,223.7,5.46,39.39,43.29,11.9
MV Pavlovic,T20,20,412,467,31,68.7,6.8,15.06,13.29,18.14
Gulsan Jha,ODI,32,1037,1019,31,172.8,5.9,32.87,33.45,11.79
T Lungameni,T20,40,771,938,31,128.5,7.3,30.26,24.87,9.61
JDP Oram,Test,20,2764,1121,31,460.7,2.43,36.16,89.16,31.84
R Rampaul,T20,27,615,827,31,102.5,8.07,26.68,19.84,9.5
Bilal Muhammad,T20,22,548,586,31,91.3,6.42,18.9,17.68,15.72
KA Jamieson,T20,32,719,1084,31,119.8,9.05,34.97,23.19,6.36
A Morris,T20,24,529,515,31,88.2,5.84,16.61,17.06,18.7
AR Puri,T20,36,684,885,31,114.0,7.76,28.55,22.06,9.37
BMAJ Mendis,ODI,47,1394,1199,31,232.3,5.16,38.68,44.97,12.91
GA Priandana,T20,33,431,505,31,71.8,7.03,16.29,13.9,16.57
A Gbla,T20,23,398,434,31,66.3,6.55,14.0,12.84,19.78
A Dutt,T20,30,599,686,31,99.8,6.87,22.13,19.32,13.09
A Dananjaya,T20,32,695,937,30,115.8,8.09,31.23,23.17,8.19
B White,T20,33,666,929,30,111.0,8.37,30.97,22.2,7.9
Nazmul Hossain,ODI,25,1132,976,30,188.7,5.17,32.53,37.73,13.84
HMCM Bandara,ODI,23,1184,983,30,197.3,4.98,32.77,39.47,14.42
ND Laegsgaard,T20,24,467,451,30,77.8,5.8,15.03,15.57,20.23
Pratik Singh Bais,T20,26,509,446,30,84.8,5.26,14.87,16.97,21.86
S Conteh,T20,23,425,393,30,70.8,5.55,13.1,14.17,23.16
S Dube,T20,38,505,785,30,84.2,9.32,26.17,16.83,8.22
MB Tambe,T20,25,508,588,30,84.7,6.94,19.6,16.93,14.26
ST Gabriel,ODI,23,1101,1119,30,183.5,6.1,37.3,36.7,10.49
D Klein,T20,23,567,550,30,94.5,5.82,18.33,18.9,17.39
D Parashar,T20,31,585,647,30,97.5,6.64,21.57,19.5,13.73
Yuvraj Singh,T20,29,401,475,30,66.8,7.11,15.83,13.37,16.81
M Kartik,ODI,23,1227,1048,30,204.5,5.12,34.93,40.9,13.55
Ahmed Raza,T20,43,830,905,30,138.3,6.54,30.17,27.67,10.93
O Thomas,ODI,23,931,998,30,155.2,6.43,33.27,31.03,10.47
SF Tiai,T20,22,487,588,30,81.2,7.24,19.6,16.23,13.76
CJ Chibhabha,ODI,49,1417,1379,30,236.2,5.84,45.97,47.23,10.08
MS Panesar,ODI,26,1314,1000,30,219.0,4.57,33.33,43.8,15.84
MJ McClenaghan,T20,29,631,809,30,105.2,7.69,26.97,21.03,9.88
JE Root,ODI,76,1740,1691,30,290.0,5.83,56.37,58.0,9.36
JA Morkel,T20,44,639,848,30,106.5,7.96,28.27,21.3,9.12
JN Loftie-Eaton,ODI,31,802,708,30,133.7,5.3,23.6,26.73,16.01
KA Jamieson,ODI,22,1150,998,30,191.7,5.21,33.27,38.33,13.57
AM Phangiso,ODI,21,1103,847,30,183.8,4.61,28.23,36.77,16.84
DT Tiripano,ODI,30,1300,1243,30,216.7,5.74,41.43,43.33,10.81
IJ Harvey,ODI,21,927,713,30,154.5,4.61,23.77,30.9,18.31
AM Blignaut,ODI,30,1436,1201,30,239.3,5.02,40.03,47.87,13.13
Ibrahim Rizan,T20,31,573,662,30,95.5,6.93,22.07,19.1,12.96
C Udekwe,T20,24,500,453,30,83.3,5.44,15.1,16.67,21.1
T Wangchuk,T20,33,615,731,30,102.5,7.13,24.37,20.5,11.64
J Shaju,T20,20,439,521,30,73.2,7.12,17.37,14.63,15.48
TM Head,ODI,42,1203,1153,30,200.5,5.75,38.43,40.1,11.18
B Lee,T20,25,585,738,30,97.5,7.57,24.6,19.5,10.87
Muhammad Wafiq,T20,36,693,854,30,115.5,7.39,28.47,23.1,9.88
Habib Khan,T20,21,487,540,30,81.2,6.65,18.0,16.23,15.84
SW Tait,T20,21,535,629,30,89.2,7.05,20.97,17.83,13.3
Ashwin Vinod,T20,22,472,542,29,78.7,6.89,18.69,16.28,14.88
Saad Bin Zafar,ODI,28,1519,1074,29,253.2,4.24,37.03,52.38,16.6
Hasan Mahmud,T20,25,537,687,29,89.5,7.68,23.69,18.52,11.02
ST Finn,T20,20,467,598,29,77.8,7.69,20.62,16.1,12.46
KOK Williams,T20,20,448,691,29,74.7,9.25,23.83,15.45,9.11
C de Grandhomme,ODI,44,1569,1243,29,261.5,4.75,42.86,54.1,13.71
CA Soper,T20,22,421,498,29,70.2,7.09,17.17,14.52,15.64
W Nalisa,T20,22,492,568,29,82.0,6.93,19.59,16.97,14.24
OF Smith,T20,26,484,784,29,80.7,9.71,27.03,16.69,7.53
AA Rahayu,T20,27,433,388,29,72.2,5.37,13.38,14.93,23.24
Washington Sundar,ODI,26,1027,847,29,171.2,4.95,29.21,35.41,15.26
